0;Adrienne;Francillon;chemin des Chatons 6;1680;Romont;francillon1408@zemail.com
1;Alix;Jacot-Guillarmod;rue de Madretsch 9;1634;La Roche;alix.jacot-guillarmod@blup.com
2;Ambroise;Meyer;rue Alfred- Aebi 9;3185;Schmitten;meyer8686@courriaile.ch
3;Armelle;Crevoisier;rue Fontenal 13;3215;Lurtigen;crevoisierc@zemail.com
4;Arnaud;Corbat;rue du Blé 3;1714;Heitenried;corbatc@courriaile.ch
5;Aude;Barman;rue du Wasen 7;1533;Ménières;aude.barman@privatemail.com
6;Aurélien;Cosandey;rue de Madretsch 4;1483;Montet;acosandey@zemail.com
7;Aurore;Crevoisier;rue du Crêt 12;1630;Bulle;aurore.crevoisier@privatemail.com
8;Axelle;Vallélian;rue de Zurich 1;1670;Bionnens;vallelianv@privatemail.com
9;Basile;Maire;rue du Marché-Neuf 8;1762;Givisiez;maire3088@privatemail.com
10;Bernardine;Robadey;chemin Mettlen 6;1633;Vuippens;robadey5939@courriaile.ch
11;Blanche;Gilliéron;allée du Champ-du-Moulin 15;1716;Plaffeien;gillierong@courriaile.ch
12;Brice;Badel;chemin du Clédar 11;1762;Givisiez;bbadel@zemail.com
13;Calixte;Maire;rue de la Gurzelen 23;1663;Moléson-sur-Gruyères;maire6812@zemail.com
14;Capucine;Botteron;rue des Maréchaux 7;1708;Fribourg;cbotteron@privatemail.com
15;Cateline;Matile;Clos-du-Lac 18;1564;Domdidier;cmatile@courriaile.ch
16;Cateline;Boillat;allée du Champ-du-Moulin 11;3175;Flamatt;cateline1457@blup.com
17;Célestine;Rey;chemin du Montoz 17;1742;Autigny;rey9357@blup.com
18;Cerise;Julliard;rue du Breuil 1;1653;Crésuz;cjulliard@blup.com
19;Charlotte;Broquet;rue de la Gare 9;1681;Hennens;broquet302@zemail.com
20;Christine;Charpié;ruelle des Tailleurs 11;1623;Semsales;christine.charpie@zemail.com
21;Clément;Grosjean;rue Jean- Sessler 2;3178;Bösingen;clement.grosjean@courriaile.ch
22;Cyrielle;Delèze;ch. Pierre-aux-Sarrasins 24;1695;Estavayer-le-Gibloux;delezed@troptopmail.ch
23;Diane;Gubéran;ch. Johann-H.- Laubscher 25;1618;Châtel-St-Denis;guberan3282@troptopmail.ch
24;Didier;Jacot-Descombes;chemin des Cordiers 23;1609;St-Martin;jacot-descombesj@courriaile.ch
25;Didier;Bovet;route de Soleure 1;1735;Giffers;didier8971@troptopmail.ch
26;Doriane;Chappuis;rue du Bourg 22;3214;Ulmiz;doriane222@privatemail.com
27;Edwige;Joly;rue du Rüschli 7;1677;Prez-vers-Siviriez;edwige7319@zemail.com
28;Elisabeth;Diesbach;chemin des Saules 3;1749;Middes;elisabeth.diesbach@courriaile.ch
29;Elisabeth;Müller;ruelle de la Fonderie 6;1633;Marsens;müllerm@courriaile.ch
30;Elise;Bochud;rue de l'Avenir 13;1618;Châtel-St-Denis;ebochud@zemail.com
31;Emeric;Corpataux;chemin Louis- Bréguet 5;1787;Môtier;corpataux5010@zemail.com
32;Emilien;Bonvin;Promenade de la Suze 7;1756;Onnens;ebonvin@blup.com
33;Emmanuelle;Candaux;rue de Büren 14;1625;Sâles;ecandaux@troptopmail.ch
34;Emmanuelle;Wicht;rue du Marché 15;1754;Avry-sur-Matran;emmanuelle7919@privatemail.com
35;Estienne;Jacot-Guillarmod;rue David- Moning 21;1749;Middes;estienne.jacot-guillarmod@troptopmail.ch
36;Estienne;Berberat;rue de l'Equerre 22;1533;Ménières;berberat4975@courriaile.ch
37;Euphrasie;Monnard;rue des Armes 7;1625;Maules;euphrasie.monnard@zemail.com
38;Fabrice;Wicht;ruelle des Serruriers 15;1713;St. Antoni;fwicht@troptopmail.ch
39;Faustine;Brahier;chemin des Bourguignons 9;1694;Villargiroud;faustine6537@privatemail.com
40;Flavie;Müller;chemin de la Scierie 3;1782;La Corbaz;flavie.müller@blup.com
41;Flore;Comte;ch. Pierre-aux-Sarrasins 13;1701;Fribourg;flore5125@zemail.com
42;France;Matile;chemin Louis- Bréguet 22;1694;Villargiroud;france.matile@zemail.com
43;Franck;Chapuis;rue de la Source 7;3213;Kleinbösingen;fchapuis@courriaile.ch
44;Franck;Broquet;rue des Jardins 24;1782;Lossy;franck.broquet@troptopmail.ch
45;Frédérique;Droz;rue du Rüschli 11;1410;Prévondavaux;droz7285@courriaile.ch
46;Geoffroi;Wicht;chemin de Bärlet 12;1670;Esmonts;gwicht@zemail.com
47;Geoffroi;Vuille;rue du Breuil 12;1565;Vallon;geoffroi.vuille@blup.com
